tag,freq, precision,recall,f_score,totalP,totalE
birt-report,201,0,0,0,0,0
uniq,105,0,0,0,0,0
silverlight-5.0,910,0,0,0,0,0
alter-table,268,0,0,0,0,0
derivatives,1749,0,0,0,0,0
fstream,518,0,0,0,0,0
data-warehouse,595,0,0,0,0,0
modular-forms,269,0,0,0,0,0
xpath-2.0,162,0,0,0,0,0
music,1988,0,0,0,0,0
dns,16179,1.0,0.333333333333,0.5,1,3
tokenize,675,0,0,0,0,0
monomac,180,0,0,0,0,0
jmx,913,0,0,0,0,0
relay,221,0,0,0,0,0
on-screen-keyboard,105,0,0,0,0,0
jms,2301,0,0,0,0,0
yahoo,937,0,0,0,0,0
glass,111,0,0,0,0,0
tinyxml,138,0,0,0,0,0
thinkpad,573,0,0,0,0,1
jmf,351,0,0,0,0,0
database-normalization,167,0,0,0,0,0
locked,164,0,0,0,0,0
blade,137,0,0,0,0,0
numerical-linear-algebra,485,0,0,0,0,0
datanucleus,488,0,0,0,0,0
concepts,127,0,0,0,0,0
differential-geometry,3782,0,0,0,0,0
uiprogressview,188,0,0,0,0,0
spring-jms,139,0,0,0,0,0
droppable,366,0,0,0,0,0
pci-compliance,105,0,0,0,0,0
smtp,6118,0,0,0,0,0
git-checkout,102,0,0,0,0,0
titanium,2124,0,0,0,0,0
ubuntu-server,326,0,0,0,0,0
fibonacci,313,0,0,0,0,0
onitemclicklistener,219,0,0,0,0,0
absolute,353,0,0,0,0,0
motion,209,0,0,0,0,0
tikz-external,149,0,0,0,0,0
sybase-ase,295,0,0,0,0,0
webstart,304,0,0,0,0,0
feature,535,0,0,0,0,0
geojson,147,0,0,0,0,0
machine,250,0,0,0,0,0
avfoundation,1409,0,0,0,0,0
playback,710,0,0,0,0,0
actionscript,7238,0,0,0,0,4
remote-access,2153,0,0,0,0,0
nhibernate,14863,1.0,1.0,1.0,3,3
dashcode,192,0,0,0,0,0
winsock,1048,0,0,0,0,0
iboutlet,316,0,0,0,0,0
updatepanel,2169,0,0,0,0,0
abstraction,525,0,0,0,0,0
textwatcher,131,0,0,0,0,0
sidekiq,109,0,0,0,0,0
diagram,715,0,0,0,0,0
plyr,486,0,0,0,0,0
micro-optimization,219,0,0,0,0,0
amsart,115,0,0,0,0,0
types,6883,0,0,0,0,2
fsockopen,224,0,0,0,0,0
online-resources,294,0,0,0,0,0
dijit,889,0,0,0,0,0
webfonts,312,0,0,0,0,1
hdtv,184,0,0,0,0,0
minification,151,0,0,0,0,0
alias,1809,0,0,0,0,2
video-capture,1010,0,0,0,0,0
jenkins-plugins,390,0,0,0,0,0
presentmodalviewcontrolle,358,0,0,0,0,0
testdriven.net,104,0,0,0,0,0
jquery-tabs,331,0,0,0,0,0
sendgrid,218,0,0,0,0,0
wine,594,0,0,0,0,0
restriction,263,0,0,0,0,0
feedback,273,0,0,0,0,0
bsd-license,114,0,0,0,0,0
xlib,343,0,0,0,0,0
bootstrapper,165,0,0,0,0,0
theme-twenty-eleven,169,0,0,0,0,0
html-table,444,0,0,0,0,0
webtest,136,0,0,0,0,0
rpmbuild,282,0,0,0,0,0
spring-data-jpa,242,0,0,0,0,0
concurrency,6587,0,0,0,0,1
listactivity,631,0,0,0,0,0
uuid,743,0,0,0,0,0
fit,207,0,0,0,0,0
fix,125,0,0,0,0,0
android-ndk,3915,0,0,0,0,1
dynamic-language-runtime,178,0,0,0,0,0
hidden,900,0,0,0,0,0
android-context,127,0,0,0,0,0
autosuggest,360,0,0,0,0,0
people-picker,241,0,0,0,0,0
error-code,147,0,0,0,0,0
pre-get-posts,110,0,0,0,0,0
slicing,209,0,0,0,0,0
cloud-hosting,563,0,0,0,0,0
effects,675,0,0,0,0,0
mpmovieplayer,257,0,0,0,0,0
interrupt,655,0,0,0,0,0
multidimensional,432,0,0,0,0,1
web-apps,286,0,0,0,0,0
search-scope,197,0,0,0,0,0
repaint,503,0,0,0,0,0
scripting-language,166,0,0,0,0,0
selenium-ide,624,0,0,0,0,0
docking-station,108,0,0,0,0,1
ria-services,487,0,0,0,0,0
timeout,3869,0,0,0,0,0
debug,466,0,0,0,0,0
google-analytics,3702,1.0,1.0,1.0,1,1
noncommutative-algebra,182,0,0,0,0,0
xubuntu,309,0,0,0,0,0
photo-gallery,318,0,0,0,0,0
azure-storage-tables,393,0,0,0,0,1
mdi,475,0,0,0,0,0
financial,214,0,0,0,0,1
signal-strength,105,0,0,0,0,0
archetypes,122,0,0,0,0,0
django-authentication,400,0,0,0,0,0
functional-programming,4532,0,0,0,0,2
mdf,161,0,0,0,0,0
android-manifest,1697,0,0,0,0,0
mdx,940,0,0,0,0,0
sub-menu,158,0,0,0,0,0
mongoid,2348,0,0,0,0,0
zbar-sdk,117,0,0,0,0,0
greatest-n-per-group,670,0,0,0,0,0
ie6-bug,326,0,0,0,0,0
overwrite,349,0,0,0,0,0
log-analysis,112,0,0,0,0,0
dst,347,0,0,0,0,0
sms,3406,1.0,1.0,1.0,2,2
functional-analysis,6044,1.0,0.5,0.666666666667,1,2
smp,130,0,0,0,0,0
smo,422,0,0,0,0,0
dsl,948,0,0,0,0,0
sml,525,0,0,0,0,0
proof-strategy,1458,0,0,0,0,0
rc,130,0,0,0,0,0
problem-solving,638,0,0,0,0,0
datacontractserializer,499,0,0,0,0,0
smb,977,0,0,0,0,0
ado.net,5460,0,0,0,0,1
build-process,1772,0,0,0,0,0
castle-monorail,184,0,0,0,0,0
gunicorn,279,0,0,0,0,0
getelementsbytagname,164,0,0,0,0,0
tikz-trees,241,0,0,0,0,0
paypal-ipn,534,0,0,0,0,0
md5,1725,0,0,0,0,0
xargs,495,0,0,0,0,0
visualvm,207,0,0,0,0,1
atl,770,0,0,0,0,0
javafx,1359,0,0,0,0,0
ati,605,0,0,0,0,0
levels,104,0,0,0,0,0
lxc,161,0,0,0,0,0
time-capsule,109,0,0,0,0,0
windows-mobile,3376,0,0,0,0,0
add-action,270,0,0,0,0,0
output-buffering,189,0,0,0,0,0
mingw,1991,0,0,0,0,0
formview,351,0,0,0,0,0
customization,3702,0,0,0,0,1
xib,1009,0,0,0,0,0
smartgwt,844,0,0,0,0,0
service,8140,0,0,0,0,2
ddms,341,0,0,0,0,0
password-encryption,162,0,0,0,0,0
wsdl2java,268,0,0,0,0,0
sqlcmd,313,0,0,0,0,0
domain-controller,1062,0,0,0,0,0
jstl,2159,0,0,0,0,0
listen,107,0,0,0,0,0
jsrender,135,0,0,0,0,0
windbg,1067,0,0,0,0,0
scraper,161,0,0,0,0,0
cdata,434,0,0,0,0,0
edmx,312,0,0,0,0,0
crawl,226,0,0,0,0,0
dot-emacs,148,0,0,0,0,0
project-server,182,0,0,0,0,0
android-drawable,122,0,0,0,0,0
uicontrol,184,0,0,0,0,0
tree,4332,0,0,0,0,0
dynamics-crm-4,593,0,0,0,0,0
idle,314,0,0,0,0,0
file-upload,9409,0,0,0,0,3
hierarchical-data,577,0,0,0,0,0
treeview,3379,0,0,0,0,0
nopcommerce,215,0,0,0,0,0
build-automation,1384,0,0,0,0,0
dozer,176,0,0,0,0,0
websocket,2623,0,0,0,0,0
filemaker,386,0,0,0,0,0
yii-mvc,118,0,0,0,0,0
increment,628,0,0,0,0,0
gigabit-ethernet,313,0,0,0,0,0
itemizedoverlay,218,0,0,0,0,0
filereference,150,0,0,0,0,0
sunspot-solr,101,0,0,0,0,0
spectral-graph-theory,112,0,0,0,0,0
blazeds,647,0,0,0,0,0
vga,652,0,0,0,0,1
office-interop,925,0,0,0,0,0
syncframework,301,0,0,0,0,0
wp-editor,108,0,0,0,0,0
dfs-r,134,0,0,0,0,0
mkmapview,2310,0,0,0,0,0
three.js,1453,0,0,0,0,0
video.js,156,0,0,0,0,0
transactions,5005,0,0,0,0,0
sudoers,327,0,0,0,0,0
object,11765,0,0,0,0,5
data-protection,131,0,0,0,0,0
metrics,631,0,0,0,0,0
simplify,142,0,0,0,0,0
msysgit,462,0,0,0,0,0
icloud,851,0,0,0,0,0
varargs,359,0,0,0,0,0
asp.net-mvc,57859,0.285714285714,0.181818181818,0.222222222222,7,11
motion-detection,181,0,0,0,0,0
macbook,1785,0,0,0,0,0
escape-characters,165,0,0,0,0,0
i2c,137,0,0,0,0,0
device-orientation,172,0,0,0,0,0
tempdata,106,0,0,0,0,0
playframework-1.x,373,0,0,0,0,0
fabricjs,172,0,0,0,0,0
json-decode,599,0,0,0,0,0
caml,450,0,0,0,0,0
language-agnostic,7198,0,0,0,0,1
method-chaining,167,0,0,0,0,0
iphone-web,413,0,0,0,0,0
wow64,103,0,0,0,0,0
canon-60d,116,0,0,0,0,0
maintenance-plan,122,0,0,0,0,0
case-class,101,0,0,0,0,0
soundpool,262,0,0,0,0,0
document-classes,413,0,0,0,0,0
hibernate-validator,269,0,0,0,0,0
autoit,412,0,0,0,0,0
unmanaged,830,0,0,0,0,0
gitignore,397,0,0,0,0,0
android-stylesheeets,118,0,0,0,0,0
touches,155,0,0,0,0,0
layout,10742,0,0,0,0,4
xserver,131,0,0,0,0,0
menu,5696,0,0,0,0,1
stackoverflowerror,109,0,0,0,0,0
fstab,401,0,0,0,0,0
career-development,1383,0,0,0,0,0
user-agent,874,0,0,0,0,0
assembly-resolution,143,0,0,0,0,0
theme,159,0,0,0,0,0
form-for,325,0,0,0,0,0
semantics,128,0,0,0,0,0
qwidget,283,0,0,0,0,0
evolutionary-algorithm,122,0,0,0,0,0
webrtc,180,0,0,0,0,0
qgraphicsview,335,0,0,0,0,0
shortest-path,376,0,0,0,0,0
message-passing,136,0,0,0,0,0
pass-by-reference,1167,0,0,0,0,0
c++-standard-library,114,0,0,0,0,0
sendmessage,296,0,0,0,0,0
taylor-expansion,613,0,0,0,0,0
commonjs,117,0,0,0,0,0
knockout-2.0,359,0,0,0,0,0
symfony-forms,571,0,0,0,0,0
zabbix,243,0,0,0,0,0
software-installation,423,0,0,0,0,0
fault-tolerance,147,0,0,0,0,0
release,1516,0,0,0,0,1
data-loss,109,0,0,0,0,0
ssh-tunnel,859,0,0,0,0,0
modelbinders,235,0,0,0,0,0
branding,362,0,0,0,0,0
mysql,172182,0.653846153846,0.739130434783,0.69387755102,26,23
xtragrid,220,0,0,0,0,0
periodic-functions,102,0,0,0,0,0
jaxb2,319,0,0,0,0,1
nsmutablestring,170,0,0,0,0,0
radius,468,0,0,0,0,1
result,387,0,0,0,0,0
apa-style,235,0,0,0,0,0
latex3,197,0,0,0,0,0
foss,108,0,0,0,0,0
device-manager,174,0,0,0,0,0
findstr,107,0,0,0,0,0
irq,121,0,0,0,0,0
delphi,21367,1.0,1.0,1.0,1,1
stackoverflowexception,201,0,0,0,0,0
wikipedia,514,0,0,0,0,0
applet,4169,1.0,1.0,1.0,1,1
class-design,1008,0,0,0,0,0
django-testing,190,0,0,0,0,0
gallio,169,0,0,0,0,0
powerpoint-2007,100,0,0,0,0,0
data.table,564,0,0,0,0,0
spring-integration,331,0,0,0,0,0
irb,371,0,0,0,0,0
irc,910,0,0,0,0,2
axiom-of-choice,601,0,0,0,0,0
extend,619,0,0,0,0,0
gnome-terminal,481,0,0,0,0,0
ipconfig,100,0,0,0,0,0
wcf-security,960,0,0,0,0,0
multipartform-data,394,0,0,0,0,0
jquery-validate,3121,0,0,0,0,0
knn,107,0,0,0,0,0
noise-reduction,155,0,0,0,0,0
gnu-make,747,0,0,0,0,0
opengl-es,7243,0,0,0,0,1
downgrade,220,0,0,0,0,1
carbon,476,0,0,0,0,0
rtti,397,0,0,0,0,0
wtl,128,0,0,0,0,0
old-lenses,108,0,0,0,0,0
topology,214,0,0,0,0,0
sd-card,1135,0,0,0,0,1
polyglossia,138,0,0,0,0,0
triggers,4981,0,0,0,0,2
dalvik,427,0,0,0,0,0
adapter,1727,0,0,0,0,0
syntax-highlighting,1830,0,0,0,0,0
logic,5650,0,0,0,0,0
global-variables,2086,0,0,0,0,0
login,9802,0,0,0,0,1
gwt-ext,124,0,0,0,0,0
android-syncadapter,173,0,0,0,0,0
ramsey-theory,150,0,0,0,0,0
catransform3d,113,0,0,0,0,0
innerhtml,774,0,0,0,0,0
development-process,768,0,0,0,0,0
duplicate-removal,352,0,0,0,0,0
kohana,1630,0,0,0,0,0
blending,145,0,0,0,0,0
dhcp-server,320,0,0,0,0,0
diff,2526,0,0,0,0,1
inode,312,0,0,0,0,0
iterable,108,0,0,0,0,0
billing,299,0,0,0,0,0
servercontrols,162,0,0,0,0,0
union,1335,0,0,0,0,0
dicom,283,0,0,0,0,0
twain,128,0,0,0,0,0
extraction,332,0,0,0,0,0
telecommunication,115,0,0,0,0,0
numerical-methods,2352,0,0,0,0,0
tutorials,1933,0,0,0,0,2
hfs+,162,0,0,0,0,0
partial-classes,257,0,0,0,0,0
external-process,102,0,0,0,0,0
autocompletetextview,332,0,0,0,0,0
fontspec,608,0,0,0,0,0
jmenuitem,117,0,0,0,0,0
intentfilter,329,0,0,0,0,1
telnet,1381,0,0,0,0,0
primitive-types,234,0,0,0,0,0
relevance,102,0,0,0,0,0
lift,926,0,0,0,0,0
web-hosting,2274,0,0,0,0,0
robolectric,145,0,0,0,0,0
child,212,0,0,0,0,0
osx-leopard,768,0,0,0,0,0
datatable,4343,0,0,0,0,0
exchange2010,191,0,0,0,0,0
boost-bind,208,0,0,0,0,0
decisiontrees,181,0,0,0,0,1
geoip,219,0,0,0,0,0
typoscript,288,0,0,0,0,0
cross-referencing,1428,0,0,0,0,0
sql-server-ce-4,150,0,0,0,0,0
jplayer,467,0,0,0,0,0
visual-studio-2012,4689,0,0,0,0,2
texlive,731,0,0,0,0,0
visual-studio-2010,34433,0,0,0,0,4
content-length,105,0,0,0,0,0
data-structures,8519,0,0,0,0,0
toolkit,369,0,0,0,0,0
player,763,0,0,0,0,1
libxml,195,0,0,0,0,0
ognl,157,0,0,0,0,0
latexmk,171,0,0,0,0,1
gameloop,112,0,0,0,0,0
linechart,177,0,0,0,0,0
jquery-live,516,0,0,0,0,0
variations,102,0,0,0,0,0
linq-to-nhibernate,569,0,0,0,0,0
alternate-access-mapping,150,0,0,0,0,0
directed-graph,131,0,0,0,0,0
split,3723,0,0,0,0,0
maven-release-plugin,293,0,0,0,0,0
templates,16900,0,0,0,0,2
maven-jetty-plugin,179,0,0,0,0,0
vectorization,578,0,0,0,0,0
filenames,1712,0,0,0,0,0
ownership,325,0,0,0,0,0
javascriptmvc,177,0,0,0,0,0
ternary-operator,455,0,0,0,0,1
custom-post-types,5056,0,0,0,0,1
cross-threading,247,0,0,0,0,0
lock-free,170,0,0,0,0,0
utorrent,320,0,0,0,0,0
activereports,110,0,0,0,0,0
gzip,2446,0,0,0,0,0
linkify,119,0,0,0,0,0
settimeout,1144,0,0,0,0,0
finite-state-machine,179,0,0,0,0,0
digest-authentication,146,0,0,0,0,0
bing-api,234,0,0,0,0,0
dependency-properties,1093,0,0,0,0,0
throttling,289,0,0,0,0,0
failed-installation,223,0,0,0,0,0
distribute,135,0,0,0,0,0
opengl-3,253,0,0,0,0,0
garbage-collection,3902,0,0,0,0,1
exterior-algebra,140,0,0,0,0,0
cppunit,143,0,0,0,0,0
noscript,189,0,0,0,0,0
handshake,104,0,0,0,0,0
ms-access-2007,1969,0,0,0,0,0
xmlhttprequest,3083,0,0,0,0,2
datagridtemplatecolumn,161,0,0,0,0,0
ms-access-2003,457,0,0,0,0,0
fortran,1850,0,0,0,1,0
collections,7355,0,0,0,0,1
nssortdescriptor,213,0,0,0,0,0
reference-request,6064,0,0,0,0,3
servicemix,205,0,0,0,0,0
bnf,197,0,0,0,0,0
elevation,163,0,0,0,0,1
easymock,388,0,0,0,0,0
online,388,0,0,0,0,0
find-and-replace,852,0,0,0,0,0
appendto,158,0,0,0,0,0
shadow,560,0,0,0,0,0
unique,1372,0,0,0,0,0
d,961,0,0,0,0,0
hwnd,138,0,0,0,0,0
quadtree,115,0,0,0,0,0
app-store,3032,0,0,0,0,1
winpcap,186,0,0,0,0,0
memory-leaks,6369,0,0,0,0,2
ui-automation,540,0,0,0,0,0
fancybox,3029,0,0,0,0,0
ole,542,0,0,0,0,0
internet-explorer-9,3673,0,0,0,0,1
animate,592,0,0,0,0,0
onchange,848,0,0,0,0,0
xmlserializer,479,0,0,0,0,2
internet-explorer-8,6167,1.0,0.5,0.666666666667,1,2
jquery-datepicker,663,0,0,0,0,0
fop,253,0,0,0,0,0
monogame,116,0,0,0,0,0
applescript,2729,1.0,1.0,1.0,1,1
subclass,1195,0,0,0,1,0
fog,147,0,0,0,0,0
fixed-width,155,0,0,0,0,0
banach-algebras,184,0,0,0,0,0
fdisk,291,0,0,0,0,0
uml,2739,0,0,0,0,0
activemodel,241,0,0,0,0,0
dnd,142,0,0,0,0,0
barcode,1009,0,0,0,0,1
fast-search,212,0,0,0,0,0
sections-paragraphs,147,0,0,0,0,0
ios-universal-app,128,0,0,0,0,0
conformal-geometry,115,0,0,0,0,0
sshd,217,0,0,0,0,0
noconflict,162,0,0,0,0,1
graphics-card,2738,0,0,0,0,0
foreign-keys,2910,0,0,0,0,0
iis-7,159,0,0,0,0,0
force.com,171,0,0,0,0,0
joomla,6926,0,0,0,0,0
wordpress-plugin,2923,0,0,0,0,0
circular-buffer,106,0,0,0,0,0
msbuild-4.0,192,0,0,0,0,0
soa,1216,0,0,0,0,0
error-logging,413,0,0,0,0,0
rotations,393,0,0,0,0,1
mocha,390,0,0,0,0,0
sos,164,0,0,0,0,0
wrap,631,0,0,0,0,0
sox,183,0,0,0,0,0
direct3d,619,0,0,0,0,0
tightvnc,112,0,0,0,0,0
mbr,543,0,0,0,0,0
access-specifier,119,0,0,0,0,0
fabric,465,0,0,0,0,0
elementary-set-theory,3680,0,0,0,0,1
panorama,147,0,0,0,0,0
support,714,0,0,0,0,1
sheaf-theory,347,0,0,0,0,0
firefox-3,105,0,0,0,0,0
width,2379,0,0,0,0,0
rebol,271,0,0,0,0,0
wordpress,30556,0.333333333333,0.2,0.25,3,5
stringbuffer,114,0,0,0,0,0
rcpp,187,0,0,0,0,0
dllimport,799,0,0,0,0,0
passport,172,0,0,0,0,0
fpga,315,0,0,0,0,0
sql-loader,238,0,0,0,0,1
paypal,4476,0,0,0,0,0
pgfplotstable,270,0,0,0,0,0
notifications,4196,0,0,0,0,2
pagerank,169,0,0,0,0,0
eclipse-pdt,278,0,0,0,0,1
hotswap,162,0,0,0,0,0
prototyping,195,0,0,0,0,0
amazon-simpledb,353,0,0,0,0,0
arrays,50055,0,0,0,0,13
inside,172,0,0,0,0,0
mongomapper,417,0,0,0,0,0
devices,811,0,0,0,0,1
access-vba,1374,0,0,0,0,0
usage-statistics,115,0,0,0,0,0
tweepy,123,0,0,0,0,0
google-maps-markers,1122,0,0,0,0,0
panels,137,0,0,0,0,0
powershell,13518,0.666666666667,1.0,0.8,3,2
youtube-api,2128,0,0,0,0,1
passenger,1338,0,0,0,0,0
viewmodel,1565,0,0,0,0,0
fancyhdr,425,0,0,0,0,0
ddos,559,0,0,0,0,0
timezone,3376,0,0,0,0,1
web-frameworks,502,0,0,0,0,0
posting,125,0,0,0,0,0
selenium-grid,292,0,0,0,0,0
permgen,165,0,0,0,0,0
uipickerview,1224,0,0,0,0,0
301-redirect,217,0,0,0,0,0
actor,586,0,0,0,0,0
packet-capture,345,0,0,0,0,0
role,195,0,0,0,0,0
jenkins,3524,0,0,0,0,0
android-calendar,190,0,0,0,0,0
models,1172,0,0,0,0,0
asterisk,1290,0,0,0,0,0
kineticjs,574,0,0,0,0,0
objectify,309,0,0,0,0,0
rhino-mocks,957,0,0,0,0,2
openurl,104,0,0,0,0,0
duplication,108,0,0,0,0,0
tablecellrenderer,140,0,0,0,0,0
setinterval,846,0,0,0,0,1
contacts,1737,0,0,0,0,0
packets,188,0,0,0,0,0
arch-linux,1760,0,0,0,0,2
circuit-complexity,183,0,0,0,0,0
time,7925,0,0,0,0,2
push,1657,0,0,0,0,1
backbone-relational,173,0,0,0,0,0
beamer,3367,1.0,0.5,0.666666666667,1,2
codeblocks,859,0,0,0,0,0
osx,51812,0.666666666667,0.5,0.571428571429,6,8
chain,109,0,0,0,0,0
fsm,145,0,0,0,0,0
lambda-calculus,332,0,0,0,0,0
special-functions,1279,0,0,0,0,0
iis7.5,1700,0,0,0,0,0
unpack,153,0,0,0,0,0
template-tags,102,0,0,0,0,0
recurrence,180,0,0,0,0,0
bufferedwriter,149,0,0,0,0,0
android-application,114,0,0,0,0,0
jtextarea,626,0,0,0,0,0
downloading,168,0,0,0,0,0
android-install-apk,121,0,0,0,0,0
choice,163,0,0,0,0,0
wma,136,0,0,0,0,0
mod-dav-svn,107,0,0,0,0,0
switch-statement,1812,0,0,0,0,1
cgi-bin,161,0,0,0,0,0
jquery-load,200,0,0,0,0,0
forgot-password,111,0,0,0,0,0
solver,197,0,0,0,0,0
tablerow,303,0,0,0,0,0
nlb,200,0,0,0,0,0
defaults,152,0,0,0,0,0
team,482,0,0,0,0,0
multiprocessing,1473,0,0,0,0,1
netfilter,130,0,0,0,0,0
zebra-printers,202,0,0,0,0,0
starred-version,125,0,0,0,0,1
edittext,2232,0,0,0,0,0
visual-studio-extensions,208,0,0,0,0,0
javascript-events,8486,0,0,0,0,2
dbase,110,0,0,0,0,0
prediction,166,0,0,0,0,0
sign,274,0,0,0,0,0
restkit,1157,0,0,0,1,0
gobject,123,0,0,0,0,0
rspec2,994,0,0,0,0,0
django-queryset,692,0,0,0,0,1
windows-installer,2475,0,0,0,0,0
zend-server-ce,130,0,0,0,0,0
texniccenter,199,0,0,0,0,0
iphone-sdk-5.0,251,0,0,0,0,0
mshtml,260,0,0,0,0,1
axes,144,0,0,0,0,0
boost,9275,0,0,0,2,0
opencart,795,0,0,0,0,0
mergesort,385,0,0,0,0,0
domain-mapping,136,0,0,0,0,0
dropdown,278,0,0,0,0,1
solution-deployment,122,0,0,0,0,0
windows-8,10949,0,0,0,0,1
splice,124,0,0,0,0,0
address,871,0,0,0,0,0
cisco-vpn,268,0,0,0,0,0
windows-networking,258,0,0,0,0,0
windows-7,58487,0,0,0,0,6
text-shadow,104,0,0,0,0,0
vb.net,46653,1.0,0.5,0.666666666667,5,10
example,540,0,0,0,0,0
queue,2699,0,0,0,0,1
throughput,219,0,0,0,0,0
objective-c-2.0,275,0,0,0,0,1
monkeyrunner,218,0,0,0,0,0
ipc,1588,0,0,0,0,0
tasks,496,0,0,0,0,0
code-sample,127,0,0,0,0,0
android-widget,4620,0,0,0,0,3
jeditable,443,0,0,0,0,0
ipn,341,0,0,0,0,0
code-access-security,219,0,0,0,0,0
logical,125,0,0,0,0,0
bookmarks,1376,0,0,0,0,0
intellij-idea,3724,0,0,0,0,0
callstack,333,0,0,0,0,0
post-formats,148,0,0,0,0,0
wicket,1735,0,0,0,0,0
httpwebrequest,3190,0,0,0,0,0
scope,3647,0,0,0,0,0
commonsware,205,0,0,0,0,0
realtek,166,0,0,0,0,0
xna4.0,194,0,0,0,0,0
exchange2007,217,0,0,0,0,0
lowercase,224,0,0,0,0,0
associative-array,796,0,0,0,0,0
currency,822,0,0,0,0,1
strong-typing,210,0,0,0,0,0
entity-framework-4.3,361,0,0,0,0,0
entity-framework-4.1,3171,0,0,0,0,0
descriptor,183,0,0,0,0,0
ninject,1873,0,0,0,0,0
printing,9541,0,0,0,0,5
values,228,0,0,0,0,0
slowness,146,0,0,0,0,0
text-mining,280,0,0,0,0,0
use-case,321,0,0,0,0,0
progressdialog,758,0,0,0,0,1
android-sensors,370,0,0,0,0,0
locks,103,0,0,0,0,0
logrotate,426,0,0,0,0,0
incremental,137,0,0,0,0,0
uiimagepickercontroller,1701,0,0,0,0,0
mod-ssl,247,0,0,0,0,0
custom-cell,169,0,0,0,0,0
chroot,689,0,0,0,0,0
monitoring,5011,0,0,0,0,1
threadpool,1334,0,0,0,0,0
savon,189,0,0,0,1,0
fps,319,0,0,0,0,0
load-data-infile,258,0,0,0,0,0
xhtml,5230,0,0,0,0,1
parameter,107,0,0,0,0,0
user-permissions,447,0,0,0,0,0
explorer,685,0,0,0,0,0
blobstore,393,0,0,0,0,0
applications,890,0,0,0,0,0
ioctl,205,0,0,0,0,0
date,13697,0,0,0,0,0
actionmailer,975,0,0,0,0,0
data,8253,0,0,0,0,1
color-space,113,0,0,0,0,0
google-apps,1468,0,0,0,0,1
html-lists,2166,0,0,0,0,1
stdio,297,0,0,0,0,0
stdin,997,0,0,0,0,0
su,409,0,0,0,0,0
prototypal-inheritance,214,0,0,0,0,0
type-systems,244,0,0,0,0,0
sandbox,893,0,0,0,0,0
sh,863,0,0,0,0,0
so,131,0,0,0,0,0
travel,184,0,0,0,0,0
tty,505,0,0,0,0,0
ef4-code-only,119,0,0,0,0,0
zepto,203,0,0,0,0,0
jquery-dialog,322,0,0,0,0,0
llvm-gcc,118,0,0,0,0,0
webpage,1273,0,0,0,0,0
cloudbees,185,0,0,0,0,0
power-management,1551,0,0,0,0,0
while-loops,650,0,0,0,0,1
damage,117,0,0,0,0,0
